Id,Label,name,description,ebcU,fgcU,wtc4U,wtc5U,wtc6U,sgcU,infU,louU,optU,eigU,ebcW,fgcW,wtc4W,wtc5W,wtc6W,sgcW,infW,louW,optW,eigW,ebcUcolor,fgcUcolor,wtc4Ucolor,wtc5Ucolor,wtc6Ucolor,sgcUcolor,infUcolor,louUcolor,optUcolor,eigUcolor,ebcWcolor,fgcWcolor,wtc4Wcolor,wtc5Wcolor,wtc6Wcolor,sgcWcolor,infWcolor,louWcolor,optWcolor,eigWcolor
0.0,Bishop Myriel,MY,"M. Myriel, Bishop of Digne",1.0,5.0,1.0,6.0,4.0,16.0,5.0,5.0,1.0,1.0,1.0,5.0,1.0,6.0,4.0,12.0,5.0,5.0,1.0,1.0,#D78DCC,#D66CDD,#D78DCD,#96A142,#E18A34,#C6DE8A,#E057E5,#D86CDC,#BBAD88,#E7749E,#D78DCD,#D66CDD,#D78DCD,#96A142,#E18A34,#71AADE,#E057E5,#D86CDC,#BBAD88,#E7749E
1.0,Mlle Baptistine,MB,"Mlle Baptistine, sister of Myriel",1.0,5.0,1.0,7.0,7.0,16.0,5.0,5.0,1.0,1.0,1.0,5.0,1.0,7.0,7.0,12.0,5.0,5.0,1.0,1.0,#D78DCC,#D66CDD,#D78DCD,#D2A83B,#D2A83B,#C6DE8A,#E057E5,#D86CDC,#BBAD88,#E7749E,#D78DCD,#D66CDD,#D78DCD,#D2A83B,#D2A83B,#71AADE,#E057E5,#D86CDC,#BBAD88,#E7749E
2.0,Mme Magloire,ME,"Mme Magloire, housekeeper to Myriel",1.0,5.0,1.0,7.0,7.0,16.0,5.0,5.0,1.0,1.0,1.0,5.0,1.0,7.0,7.0,12.0,5.0,5.0,1.0,1.0,#D78DCC,#D66CDD,#D78DCD,#D2A83B,#D2A83B,#C6DE8A,#E057E5,#D86CDC,#BBAD88,#E7749E,#D78DCD,#D66CDD,#D78DCD,#D2A83B,#D2A83B,#71AADE,#E057E5,#D86CDC,#BBAD88,#E7749E
3.0,Hospital director,HD,Hospital director in Digne,1.0,5.0,1.0,6.0,4.0,16.0,5.0,5.0,1.0,2.0,1.0,5.0,1.0,6.0,4.0,12.0,5.0,5.0,1.0,2.0,#D78DCC,#D66CDD,#D78DCD,#96A142,#E18A34,#C6DE8A,#E057E5,#D86CDC,#BBAD88,#6ECC86,#D78DCD,#D66CDD,#D78DCD,#96A142,#E18A34,#71AADE,#E057E5,#D86CDC,#BBAD88,#6ECC86
4.0,Mayor of Senez,MS,Mayor of Senez,1.0,5.0,1.0,6.0,4.0,16.0,5.0,5.0,1.0,2.0,1.0,5.0,1.0,6.0,4.0,12.0,5.0,5.0,1.0,2.0,#D78DCC,#D66CDD,#D78DCD,#96A142,#E18A34,#C6DE8A,#E057E5,#D86CDC,#BBAD88,#6ECC86,#D78DCD,#D66CDD,#D78DCD,#96A142,#E18A34,#71AADE,#E057E5,#D86CDC,#BBAD88,#6ECC86
5.0,Countess de Lô,CL,"Countess de Lô, distant relative of Myriel",1.0,5.0,1.0,6.0,4.0,16.0,5.0,5.0,1.0,2.0,1.0,5.0,1.0,6.0,4.0,12.0,5.0,5.0,1.0,2.0,#D78DCC,#D66CDD,#D78DCD,#96A142,#E18A34,#C6DE8A,#E057E5,#D86CDC,#BBAD88,#6ECC86,#D78DCD,#D66CDD,#D78DCD,#96A142,#E18A34,#71AADE,#E057E5,#D86CDC,#BBAD88,#6ECC86
6.0,Géborand,GE,"Géborand, retired merchant of Digne",1.0,5.0,1.0,6.0,4.0,16.0,5.0,5.0,1.0,2.0,1.0,5.0,1.0,6.0,4.0,12.0,5.0,5.0,1.0,2.0,#D78DCC,#D66CDD,#D78DCD,#96A142,#E18A34,#C6DE8A,#E057E5,#D86CDC,#BBAD88,#6ECC86,#D78DCD,#D66CDD,#D78DCD,#96A142,#E18A34,#71AADE,#E057E5,#D86CDC,#BBAD88,#6ECC86
7.0,Champtercier,MC,"Marquis de Champtercier, ultra-royalist in Digne",1.0,5.0,1.0,6.0,4.0,16.0,5.0,5.0,1.0,2.0,1.0,5.0,1.0,6.0,4.0,12.0,5.0,5.0,1.0,2.0,#D78DCC,#D66CDD,#D78DCD,#96A142,#E18A34,#C6DE8A,#E057E5,#D86CDC,#BBAD88,#6ECC86,#D78DCD,#D66CDD,#D78DCD,#96A142,#E18A34,#71AADE,#E057E5,#D86CDC,#BBAD88,#6ECC86
8.0,Condemned to death,CD,Man condemned to death,1.0,5.0,1.0,6.0,4.0,16.0,5.0,5.0,1.0,2.0,1.0,5.0,1.0,6.0,4.0,12.0,5.0,5.0,1.0,2.0,#D78DCC,#D66CDD,#D78DCD,#96A142,#E18A34,#C6DE8A,#E057E5,#D86CDC,#BBAD88,#6ECC86,#D78DCD,#D66CDD,#D78DCD,#96A142,#E18A34,#71AADE,#E057E5,#D86CDC,#BBAD88,#6ECC86
9.0,"Curé, Digne",CA,Curé in Digne,1.0,5.0,1.0,6.0,4.0,16.0,5.0,5.0,1.0,2.0,1.0,5.0,1.0,6.0,4.0,12.0,5.0,5.0,1.0,2.0,#D78DCC,#D66CDD,#D78DCD,#96A142,#E18A34,#C6DE8A,#E057E5,#D86CDC,#BBAD88,#6ECC86,#D78DCD,#D66CDD,#D78DCD,#96A142,#E18A34,#71AADE,#E057E5,#D86CDC,#BBAD88,#6ECC86
