Id,Label,name,description,ebcU,fgcU,wtc4U,wtc5U,wtc6U,sgcU,infU,louU,optU,eigU,ebcW,fgcW,wtc4W,wtc5W,wtc6W,sgcW,infW,louW,optW,eigW,ebcUcolor,fgcUcolor,wtc4Ucolor,wtc5Ucolor,wtc6Ucolor,sgcUcolor,infUcolor,louUcolor,optUcolor,eigUcolor,ebcWcolor,fgcWcolor,wtc4Wcolor,wtc5Wcolor,wtc6Wcolor,sgcWcolor,infWcolor,louWcolor,optWcolor,eigWcolor
0.0,Colonel Pontmercy,GP,"Colonel George Pontmercy, Marius's father",1.0,4.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,5.0,1.0,3.0,1.0,1.0,#CF7BCE,#99D05F,#C088D1,#DE9159,#DE9159,#71CF9F,#CE84B6,#E47E64,#7DA5E0,#7DA5E0,#CF7BCE,#99D05F,#C088D1,#DE9159,#DE9159,#DA73CF,#CE84B6,#E47E64,#7DA5E0,#7DA5E0
1.0,Boulatruelle,BZ,"Boulatruelle, former convict and road mender in Montfermeil",1.0,4.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,5.0,1.0,3.0,1.0,1.0,#CF7BCE,#99D05F,#C088D1,#DE9159,#DE9159,#71CF9F,#CE84B6,#E47E64,#7DA5E0,#7DA5E0,#CF7BCE,#99D05F,#C088D1,#DE9159,#DE9159,#DA73CF,#CE84B6,#E47E64,#7DA5E0,#7DA5E0
2.0,Boatswain,BS,Boatswain on the Orion saved by Valjean,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,#65C3CC,#CF7BCE,#C088D1,#CF7BCE,#CF7BCE,#CDBA54,#CE84B6,#71CF9F,#71CF9F,#71CF9F,#65C3CC,#CF7BCE,#C088D1,#CF7BCE,#CF7BCE,#E47E64,#CE84B6,#71CF9F,#71CF9F,#71CF9F
3.0,Cosette,CO,"Cosette, daughter of Fantine",3.0,3.0,3.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,#DE9159,#DE9159,#DE9257,#99D05F,#99D05F,#CDBA54,#CE84B6,#71CF9F,#71CF9F,#71CF9F,#DE9159,#DE9159,#DE9257,#99D05F,#99D05F,#E47E64,#CE84B6,#71CF9F,#71CF9F,#71CF9F
4.0,Azelma,AZ,"Azelma, daughter of the Thénardiers",3.0,3.0,3.0,4.0,4.0,5.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,2.0,1.0,3.0,3.0,#DE9159,#DE9159,#DE9257,#99D05F,#99D05F,#DA73CF,#A8C567,#7DA5E0,#E47E64,#E47E64,#DE9159,#DE9159,#DE9257,#99D05F,#99D05F,#7DA5E0,#A8C567,#7DA5E0,#E47E64,#E47E64
5.0,Eponine,EP,"Eponine, daughter of the Thénardiers",3.0,3.0,3.0,4.0,4.0,5.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,2.0,1.0,3.0,3.0,#DE9159,#DE9159,#DE9257,#99D05F,#99D05F,#DA73CF,#A8C567,#7DA5E0,#E47E64,#E47E64,#DE9159,#DE9159,#DE9257,#99D05F,#99D05F,#7DA5E0,#A8C567,#7DA5E0,#E47E64,#E47E64
6.0,Thénardier,TH,"Thénardier, innkeeper in Montfermeil, aka Jondrette",1.0,4.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,5.0,1.0,3.0,1.0,1.0,#CF7BCE,#99D05F,#C088D1,#DE9159,#DE9159,#71CF9F,#CE84B6,#E47E64,#7DA5E0,#7DA5E0,#CF7BCE,#99D05F,#C088D1,#DE9159,#DE9159,#DA73CF,#CE84B6,#E47E64,#7DA5E0,#7DA5E0
7.0,Peddler,PZ,Peddler in Thénardier's inn,3.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,5.0,1.0,3.0,1.0,1.0,#DE9159,#DE9159,#DE9257,#99D05F,#99D05F,#71CF9F,#CE84B6,#E47E64,#7DA5E0,#7DA5E0,#DE9159,#DE9159,#DE9257,#99D05F,#99D05F,#DA73CF,#CE84B6,#E47E64,#7DA5E0,#7DA5E0
8.0,Jean Valjean,JV,Jean Valjean,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,#65C3CC,#CF7BCE,#C088D1,#CF7BCE,#CF7BCE,#CDBA54,#CE84B6,#71CF9F,#71CF9F,#71CF9F,#65C3CC,#CF7BCE,#C088D1,#CF7BCE,#CF7BCE,#E47E64,#CE84B6,#71CF9F,#71CF9F,#71CF9F
9.0,Duc d'Havré,DH,"Duc d'Havré, accompanies Louis-Philippe",2.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,#65C3CC,#CF7BCE,#C088D1,#CF7BCE,#CF7BCE,#E47E64,#CE84B6,#CDBA54,#CDBA54,#CDBA54,#65C3CC,#CF7BCE,#C088D1,#CF7BCE,#CF7BCE,#71CF9F,#CE84B6,#CDBA54,#CDBA54,#CDBA54
