Id,Label,Description
"AZ","Azelma","Azelma, daughter of the Thénardiers"
"KA","Toll keeper","Toll keeper at Austerlitz bridge"
"GP","Colonel Pontmercy","Colonel George Pontmercy, Marius's father"
"LL","Landlady, Gorbeau","Landlady at Gorbeau House (during JVJ's stay)"
"EP","Eponine","Eponine, daughter of the Thénardiers"
"JA","Javert","Javert, police officer"
"JV","Jean Valjean","Jean Valjean"
"TM","Mme Thénardier","Madame Thénardier, wife of Thénardier"
"CO","Cosette","Cosette, daughter of Fantine"
"PZ","Peddler","Peddler in Thénardier's inn"
"FF","Fauchelevent","Fauchelevent, failed notary turned carter in M--sur M--"
"BZ","Boulatruelle","Boulatruelle, former convict and road mender in Montfermeil"
"CF","Montfermeil coachman","Montfermeil coachman"
"LP","Louis-Philippe","Louis-Philippe d'Orléans, King of France"
"MI","Mother Innocent","Mother Innocent, prioress of Convent of Petit Picpus"
"DH","Duc d'Havré","Duc d'Havré, accompanies Louis-Philippe"
"GR","Gribier","Gribier, new gravedigger at Vaugirard cemetery"
"TH","Thénardier","Thénardier, innkeeper in Montfermeuil, aka Jondrette"
